Unnamed: 0,tripID,deviceID,timeStamp,accData,gps_speed,battery,cTemp,dtc,eLoad,iat,imap,kpl,maf,rpm,speed,tAdv,tPos,x,y,z,mx,my,mz
0,1,0,22-12-2017 18:43,"[[-0.7125646799364715, 0.23595627204810762, -0.6066907180687159], [-0.10279205050558536, -0.9238250881924305, -0.24295678062447218], [-0.6427929558282605, -0.11797813602405381, 0.7502728088583456]]",24.2612,0.0,66,0,28.6275,40,97,0.0,0.0,1010.75,23,0.0,0.0,-0.71256468,-0.102792051,-0.642792956,-0.606690718,-0.242956781,0.750272809
1,1,0,22-12-2017 18:43,"[[0.4707973949441242, 0.2820489662721335, -0.823182901508779], [-0.012553304567994975, 0.9491024771317341, 0.31146589144254416], [0.870071332280299, -0.13272892530453342, 0.4509975743916538]]",23.15,0.0,66,0,33.7255,40,98,0.0,0.0,815.5,21,0.0,0.0,0.470797395,-0.012553305,0.870071332,-0.823182902,0.311465891,0.450997574
2,1,0,22-12-2017 18:43,"[[0.363406940121187, 0.6533333333333333, -0.6446915766722556], [0.6615404981003031, -0.6333333333333333, -0.30970909726509227], [-0.6362671159582319, -0.32666666666666666, -0.6499649588143266]]",18.7052,0.0,66,0,43.1373,40,98,0.0,0.0,862.25,17,0.0,0.0,0.36340694,0.661540498,-0.636267116,-0.644691577,-0.309709097,-0.649964959
3,1,0,22-12-2017 18:43,"[[-0.07687828192948323, 0.3061005733016679, 0.9259141631462291], [-0.19165629197237222, -0.8983017199050036, 0.2835309806121952], [0.9561811879752667, -0.15305028665083395, 0.17064244261928704]]",16.4828,0.0,66,0,41.5686,40,97,0.0,0.0,817.0,17,0.0,0.0,-0.076878282,-0.191656292,0.956181188,0.925914163,0.283530981,0.170642443
4,1,0,22-12-2017 18:43,"[[-0.4349511173745513, 0.13824774070828527, -0.8569171739373075], [-0.0029935714390658887, -0.9477341849579968, -0.15453668106220217], [-0.8679922346021802, -0.06912387035414264, 0.4696791869962154]]",17.4088,0.0,66,0,43.1373,40,97,0.0,0.0,804.25,15,0.0,0.0,-0.434951117,-0.002993571,-0.867992235,-0.856917174,-0.154536681,0.469679187
5,1,0,22-12-2017 18:43,"[[-0.3626069768944287, 0.3061005733016679, -0.84871334398376], [0.0227873854259987, -0.8983017199050036, -0.3414713549991554], [-0.9019382663448496, -0.15305028665083395, 0.37140144202741193]]",15.0012,0.0,66,0,43.1373,40,97,0.0,0.0,831.5,12,0.0,0.0,-0.362606977,0.022787385,-0.901938266,-0.848713344,-0.341471355,0.371401442
6,1,0,22-12-2017 18:43,"[[0.4213095772111321, 0.8297158059143327, -0.3330500032345768], [-0.00892701219811124, 0.38876258040637013, 0.9079286688640523], [0.8940195365269358, -0.3687625804063701, 0.17856616158625457]]",11.6676,0.0,66,0,41.1765,40,97,0.0,0.0,878.25,11,0.0,0.0,0.421309577,-0.008927012,0.894019537,-0.333050003,0.907928669,0.178566162
7,1,0,22-12-2017 18:43,"[[0.7752201768853818, 0.20620268836210795, -0.5895107596451925], [-0.11421794443977785, 0.9750440303087105, 0.18773694718847078], [0.6140006071602572, -0.07596941150182925, 0.7800209884752535]]",10.0008,0.0,66,0,41.9608,40,97,0.0,0.0,818.0,11,0.0,0.0,0.775220177,-0.114217944,0.614000607,-0.58951076,0.187736947,0.780020988
8,1,0,22-12-2017 18:43,"[[-0.6674165468772136, 0.4178207983535014, 0.5597180286024832], [-0.39824893151961516, -0.8596227333757924, 0.16751607526438902], [0.5738085740235088, -0.10995284167197406, 0.8067999065743242]]",12.2232,0.0,66,0,85.098,40,98,0.0,0.0,783.25,11,0.0,0.0,-0.667416547,-0.398248932,0.573808574,0.559718029,0.167516075,0.806799907
9,1,0,22-12-2017 18:43,"[[0.1589950785945039, 0.27840704935942323, 0.9292846081763579], [-0.01935457825881621, -0.9177921662633204, 0.28385075866654297], [0.9698998754649528, -0.058612010391457525, -0.10751024982698695]]",12.4084,0.0,66,0,68.2353,40,98,0.0,0.0,783.25,12,0.0,0.0,0.158995079,-0.019354578,0.969899875,0.929284608,0.283850759,-0.10751025
