Unnamed: 0,tripID,deviceID,timeStamp,accData,gps_speed,battery,cTemp,dtc,eLoad,iat,imap,kpl,maf,rpm,speed,tAdv,tPos,x,y,z,mx,my,mz
672,1,10,01-12-2017 07:46,"[[0.26184898792157085, -0.7074813037617788, -0.633545003822811], [0.9421898398658487, 0.1167495800016108, 0.25163033287558595], [-0.11911075809883069, -0.6712002112611748, 0.7240617186781826]]",0.0,0.0,18,0,24.3137,15,97,0.0,8.24,794.0,0,0.0,0.0,0.261848988,0.94218984,-0.119110758,-0.633545004,0.251630333,0.724061719
673,1,10,01-12-2017 07:46,"[[0.26184898792157085, -0.7074813037617788, -0.633545003822811], [0.9421898398658487, 0.1167495800016108, 0.25163033287558595], [-0.11911075809883069, -0.6712002112611748, 0.7240617186781826]]",0.0,0.0,18,0,24.3137,15,97,0.0,8.49,789.5,0,0.0,0.0,0.261848988,0.94218984,-0.119110758,-0.633545004,0.251630333,0.724061719
674,1,10,01-12-2017 07:46,"[[0.26184898792157085, -0.7074813037617788, -0.633545003822811], [0.9421898398658487, 0.1167495800016108, 0.25163033287558595], [-0.11911075809883069, -0.6712002112611748, 0.7240617186781826]]",0.0,0.0,18,0,24.3137,15,97,0.0,8.33,789.0,0,0.0,0.0,0.261848988,0.94218984,-0.119110758,-0.633545004,0.251630333,0.724061719
675,1,10,01-12-2017 07:46,"[[0.26184898792157085, -0.7074813037617788, -0.633545003822811], [0.9421898398658487, 0.1167495800016108, 0.25163033287558595], [-0.11911075809883069, -0.6712002112611748, 0.7240617186781826]]",0.0,0.0,18,0,24.3137,15,97,0.0,8.58,789.0,0,0.0,0.0,0.261848988,0.94218984,-0.119110758,-0.633545004,0.251630333,0.724061719
676,1,10,01-12-2017 07:46,"[[0.26184898792157085, -0.7074813037617788, -0.633545003822811], [0.9421898398658487, 0.1167495800016108, 0.25163033287558595], [-0.11911075809883069, -0.6712002112611748, 0.7240617186781826]]",0.0,0.0,18,0,24.3137,15,97,0.0,8.44,781.5,0,0.0,0.0,0.261848988,0.94218984,-0.119110758,-0.633545004,0.251630333,0.724061719
677,1,10,01-12-2017 07:46,"[[0.26184898792157085, -0.7074813037617788, -0.633545003822811], [0.9421898398658487, 0.1167495800016108, 0.25163033287558595], [-0.11911075809883069, -0.6712002112611748, 0.7240617186781826]]",0.0,0.0,18,0,24.3137,15,97,0.0,8.44,786.0,0,0.0,0.0,0.261848988,0.94218984,-0.119110758,-0.633545004,0.251630333,0.724061719
678,1,10,01-12-2017 07:46,"[[0.26184898792157085, -0.7074813037617788, -0.633545003822811], [0.9421898398658487, 0.1167495800016108, 0.25163033287558595], [-0.11911075809883069, -0.6712002112611748, 0.7240617186781826]]",0.0,0.0,18,0,23.1373,15,97,0.0,8.52,784.5,0,0.0,0.0,0.261848988,0.94218984,-0.119110758,-0.633545004,0.251630333,0.724061719
679,1,10,01-12-2017 07:46,"[[0.26184898792157085, -0.7074813037617788, -0.633545003822811], [0.9421898398658487, 0.1167495800016108, 0.25163033287558595], [-0.11911075809883069, -0.6712002112611748, 0.7240617186781826]]",0.0,0.0,18,0,25.4902,15,97,0.0,7.97,765.0,0,0.0,0.0,0.261848988,0.94218984,-0.119110758,-0.633545004,0.251630333,0.724061719
680,1,10,01-12-2017 07:46,"[[0.26184898792157085, -0.7074813037617788, -0.633545003822811], [0.9421898398658487, 0.1167495800016108, 0.25163033287558595], [-0.11911075809883069, -0.6712002112611748, 0.7240617186781826]]",0.0,0.0,18,0,24.7059,15,97,0.0,8.22,780.5,0,0.0,0.0,0.261848988,0.94218984,-0.119110758,-0.633545004,0.251630333,0.724061719
681,1,10,01-12-2017 07:46,"[[0.26184898792157085, -0.7074813037617788, -0.633545003822811], [0.9421898398658487, 0.1167495800016108, 0.25163033287558595], [-0.11911075809883069, -0.6712002112611748, 0.7240617186781826]]",0.0,0.0,18,0,27.8431,15,97,0.0,8.22,768.0,0,0.0,0.0,0.261848988,0.94218984,-0.119110758,-0.633545004,0.251630333,0.724061719
